Role,Domain,Aliases,Description,Skills,Education,Experience_Min,Experience_Max,Keywords
Telemedicine Specialist,Healthcare,Telehealth Physician|Digital Health Consultant,"Deliver virtual clinical consultations, manage digital health platforms, and improve remote patient care access and quality.","telehealth platforms, virtual consultation, clinical assessment, remote monitoring, patient communication, digital health, ehr",mbbs|msc healthcare|mba healthcare|dnb,1,12,"digital health, remote care, telehealth, virtual medicine, patient access"
Pharmacovigilance Specialist,Pharma & Biotech,PV Specialist|Drug Safety Specialist,"Monitor and report adverse drug events, maintain pharmacovigilance databases, and ensure compliance with global safety regulations.","adverse event reporting, eudravigilance, meddra, icsrs, safety database, signal detection, pv regulations, narrative writing",bpharm|mpharm|mbbs|msc pharmacology,0,10,"drug safety, adverse events, patient safety monitoring, pv operations, regulatory reporting"
Medical Affairs Executive,Pharma & Biotech,Medical Science Liaison|MSL,"Engage with key opinion leaders, disseminate scientific evidence, and bridge medical and commercial functions in pharma companies.","medical communication, kol management, clinical data interpretation, disease area expertise, scientific platforms, dossier preparation",mbbs|bpharm|mpharm|msc life sciences|phd,2,15,"medical communications, kol engagement, therapeutic area expertise, scientific education, evidence dissemination"
Quality Assurance Specialist,Pharma & Biotech,QA Specialist Pharma|GMP Quality Specialist,"Maintain pharmaceutical quality systems, conduct GMP audits, manage deviations, and ensure regulatory compliance.","gmp, qa audits, deviations, capa, sops, validation, regulatory compliance, fda, ich guidelines, quality systems",bpharm|mpharm|bsc chemistry|msc microbiology,1,12,"pharmaceutical quality, gmp compliance, regulatory audits, quality systems, product quality assurance"
Formulation Scientist,Pharma & Biotech,Pharmaceutical Scientist|Drug Development Scientist,"Develop and optimise drug formulations, conduct preformulation studies, and support product development to clinical trials.","drug formulation, preformulation, excipients, stability studies, analytical testing, pharmaceutical development, dosage forms",bpharm|mpharm|msc chemistry|phd pharmacy,1,12,"pharmaceutical development, drug formulations, dosage form design, stability testing, product development"
Product Design Engineer,Mechanical Engineering,NPD Engineer|Design Engineer,"Design and develop new mechanical products from concept to production, ensuring manufacturability and performance standards.","cad, solidworks, catia, product development, dfm, tolerance analysis, prototyping, fea, material selection, gd&t",btech mechanical|be mechanical|mtech design|diploma mechanical,0,12,"product design, mechanical design, new product development, prototyping, industrial design"
HVAC Engineer,Mechanical Engineering,MEP Engineer|Building Services Engineer,"Design and commission HVAC systems for buildings, ensuring thermal comfort, energy efficiency, and regulatory compliance.","hvac design, duct design, heat load calculation, chiller systems, ahu, autocad, ashrae, hvac systems commissioning",btech mechanical|be mechanical|diploma hvac|mtech thermal,0,12,"building hvac, thermal comfort, energy efficiency, mechanical services, hvac design"
Thermal Engineer,Mechanical Engineering,Heat Transfer Engineer|CFD Engineer,Perform thermal and fluid analysis using simulation tools to design cooling systems and optimise thermal performance of products.,"thermodynamics, heat transfer, cfd, ansys, heat exchangers, thermal analysis, fluid mechanics, cooling systems",btech mechanical|mtech thermal|be mechanical,0,12,"thermal analysis, heat management, energy systems, cfd simulation, thermal design"
Automobile Engineer,Mechanical Engineering,Automotive Engineer|Vehicle Systems Engineer,"Design, develop, and test automobile systems including powertrain, chassis, and ADAS components for vehicle performance and safety.","vehicle dynamics, engine systems, powertrain, autocad, catia, automotive testing, obd, adas, norms compliance",btech mechanical|be automobile|diploma automobile|mtech,0,12,"automotive engineering, vehicle design, powertrain, ev systems, automotive testing"
Project Engineer Civil,Civil Engineering,Site Engineer|Construction Engineer,"Manage civil construction projects on-site, coordinate contractors, track progress, and ensure quality, safety, and schedule adherence.","project management, site supervision, autocad, estimation, contract management, quality control, ms project, pert cpm, stakeholder coordination",btech civil|be civil|diploma civil|mtech structural,0,12,"construction project management, site execution, infrastructure delivery, project planning, quality assurance"
Environmental Engineer,Civil Engineering,EHS Engineer Civil|Sustainability Engineer,"Conduct environmental impact assessments, design pollution control systems, and ensure projects comply with environmental regulations.","environmental impact assessment, etp, sewage treatment, pollution control, eia reports, sustainability, water treatment, solid waste",btech civil|be environmental|mtech environmental|msc environmental science,0,12,"environmental sustainability, pollution control, green engineering, water treatment, eia"
Transportation Engineer,Civil Engineering,Highway Engineer|Traffic Engineer,"Design road networks, analyse traffic flows, and plan transportation infrastructure for urban and inter-city mobility.","highway design, traffic analysis, autocad, pavement design, geometric design, transportation planning, vissim, road safety",btech civil|mtech transportation|be civil,0,12,"transportation infrastructure, road design, traffic systems, highway engineering, urban mobility"
Geotechnical Engineer,Civil Engineering,Foundation Engineer|Soil Engineer,"Investigate subsurface conditions, design foundations and retaining structures, and advise on ground improvement for construction projects.","soil mechanics, foundation design, slope stability, borehole analysis, geotechnical reports, plaxis, ground improvement, retaining walls",btech civil|mtech geotechnical|be civil,0,12,"geotechnical investigation, soil analysis, foundation engineering, ground improvement, subsurface studies"
Lean Manufacturing Engineer,Manufacturing & Quality,Process Improvement Engineer|Continuous Improvement Engineer,"Drive lean transformation by eliminating waste, implementing Kaizen events, and optimising production flow across manufacturing operations.","lean manufacturing, six sigma, value stream mapping, kaizen, 5s, waste reduction, time and motion study, production optimization",btech mechanical|be industrial|mtech manufacturing|diploma,1,12,"lean transformation, process improvement, waste elimination, operational excellence, manufacturing efficiency"
Supply Chain Quality Analyst,Manufacturing & Quality,Supplier Quality Analyst|Incoming Quality Engineer,"Audit suppliers, manage incoming quality control processes, and drive corrective actions to maintain supply chain quality standards.","supplier audits, incoming quality control, apqp, ppap, root cause analysis, supplier corrective actions, spc, quality systems",btech mechanical|be industrial|msc quality|mba operations,1,10,"supplier quality, incoming inspection, supply chain compliance, quality control, vendor development"
Production Planner,Manufacturing & Quality,Master Production Scheduler|Manufacturing Planner,"Develop and manage production schedules, coordinate material requirements, and balance capacity with demand for on-time delivery.","production planning, mrp, erp, capacity planning, scheduling, inventory control, demand forecasting, cross functional coordination",btech mechanical|be industrial|mba operations|diploma,1,10,"production scheduling, capacity optimization, manufacturing planning, resource allocation, order fulfillment"
EHS Engineer,Manufacturing & Quality,Safety Engineer|HSE Engineer,"Implement environment, health, and safety programmes, conduct risk assessments, and ensure regulatory compliance at manufacturing facilities.","environment health safety, risk assessment, incident investigation, iso 14001, ohsas 18001, safety audits, hazard analysis, permits to work",btech mechanical|be chemical|msc safety|diploma ehs,0,12,"workplace safety, environmental compliance, hazard management, safety culture, ehs audits"
Growth Marketer,Marketing,Growth Hacker|User Acquisition Specialist,"Drive user acquisition, activation, and retention through data-driven experimentation, paid channels, and product-led growth strategies.","growth hacking, a/b testing, funnel optimization, paid ads, email marketing, product led growth, analytics, referral programs, retention",mba marketing|pgdm|bba|btech,1,10,"user acquisition, growth experiments, retention marketing, viral growth, conversion optimization"
Product Marketing Manager,Marketing,PMM|Go-to-Market Manager,"Lead go-to-market strategy, craft positioning and messaging, enable sales teams, and manage product launches.","go-to-market strategy, positioning, messaging, competitive analysis, product launches, sales enablement, customer research",mba marketing|pgdm|bba|btech,2,12,"product launches, positioning strategy, gtm execution, competitive intelligence, customer insights"
Email Marketing Specialist,Marketing,CRM Marketing Specialist|Lifecycle Marketing Specialist,"Design and execute email marketing campaigns, build automated drip sequences, and optimise deliverability and open rates.","email marketing, mailchimp, hubspot, segmentation, drip campaigns, a/b testing, html emails, deliverability, automation",mba marketing|pgdm|bba|bsc computer science,0,10,"email campaigns, marketing automation, audience segmentation, retention marketing, lifecycle marketing"
Market Research Analyst,Marketing,Consumer Insights Analyst|Brand Research Analyst,"Conduct primary and secondary market research to understand consumer behaviour, competitive dynamics, and market opportunities.","primary research, secondary research, qualtrics, survey design, focus groups, competitive analysis, market sizing, reports",mba marketing|pgdm|msc statistics|bba,0,10,"market insights, consumer behavior, competitive research, brand tracking, industry analysis"
Video Producer,Media & Content,Digital Video Producer|Content Producer,"Manage end-to-end video production including scripting, filming, editing, and post-production for digital and broadcast platforms.","video production, scriptwriting, editing, premiere pro, final cut, cinematography, color grading, storyboarding, project management",bsc mass communication|ba journalism|diploma film|bjmc,0,10,"video storytelling, documentary, branded content, digital video, film production"
Podcast Producer,Media & Content,Audio Producer|Podcast Host,"Produce, edit, and distribute podcast content, manage guest relations, and grow audience through strategic content planning.","audio recording, podcast editing, audacity, adobe audition, scripting, show notes, distribution, audience building",bsc mass communication|ba journalism|bjmc|diploma audio,0,8,"podcast creation, audio storytelling, interview format, content strategy, audience growth"
Copywriter,Media & Content,Advertising Copywriter|Creative Writer,"Create compelling advertising copy, brand narratives, and campaign concepts that persuade and engage target audiences.","advertising copy, brand voice, headline writing, campaigns, persuasive writing, storytelling, digital content, seo writing",ba english|bjmc|bsc mass communication|ba journalism,0,10,"advertising, brand storytelling, creative writing, campaign concepts, persuasion"
Photojournalist,Media & Content,News Photographer|Documentary Photographer,"Capture and submit newsworthy photographs, write captions, and contribute visual storytelling to media publications.","photography, news writing, photo editing, lightroom, field reporting, story research, caption writing, journalism ethics, camera operations",ba journalism|bjmc|bsc mass communication|diploma photography,0,10,"photojournalism, documentary photography, news reporting, visual storytelling, field journalism, editorial photography"
Warehouse Manager,Operations & Supply Chain,Distribution Center Manager|Logistics Manager,"Manage warehouse operations including inbound, storage, outbound, inventory accuracy, and team performance at distribution centers.","warehouse operations, wms, inventory management, team leadership, space optimization, safety, 5s, inbound outbound operations",mba operations|btech industrial|bba|diploma logistics,2,15,"warehouse management, distribution operations, inventory control, fulfillment, logistics operations"
Demand Planner,Operations & Supply Chain,Supply Planning Analyst|S&OP Analyst,"Generate demand forecasts, manage the S&OP process, and optimise inventory levels to balance supply and customer demand.","demand forecasting, supply planning, s&op, excel, erp, statistical models, inventory optimization, cross functional collaboration",mba operations|bsc statistics|btech industrial|bba,1,10,"demand planning, supply chain optimization, s&op process, forecasting accuracy, inventory management"
Import Export Specialist,Operations & Supply Chain,Trade Compliance Specialist|Customs Analyst,"Manage international trade operations including customs clearance, documentation, freight coordination, and regulatory compliance.","customs clearance, incoterms, trade compliance, freight forwarding, documentation, letter of credit, hs codes, import regulations",mba international trade|bcom|pgdm logistics|diploma customs,0,10,"international trade, customs, freight forwarding, trade documentation, global logistics"
Vendor Manager,Operations & Supply Chain,Supplier Relations Manager|Sourcing Manager,"Manage supplier relationships, negotiate contracts, monitor vendor performance, and drive cost and quality improvements.","vendor selection, contract negotiation, supplier performance, rfp rfq, cost management, relationship management, procurement",mba operations|btech|bba|pgdm supply chain,2,12,"vendor relationships, supplier management, procurement strategy, contract management, sourcing"
Enterprise Sales Manager,Sales,Strategic Account Executive|Large Account Manager,"Manage enterprise client relationships, build complex sales cycles, and drive large-ticket revenue growth for B2B products.","enterprise sales, consultative selling, crm, pipeline management, negotiation, c-suite engagement, account planning, solution selling",mba|pgdm|btech|bba,3,15,"enterprise deals, strategic accounts, solution selling, b2b sales, revenue growth"
Channel Sales Manager,Sales,Partner Sales Manager|Distributor Manager,"Build and manage indirect sales channels including distributors, resellers, and partners to scale revenue in assigned territories.","channel management, partner onboarding, distributor management, revenue targets, co-selling, incentive programs, crm",mba|pgdm|bba|btech,2,12,"channel partnerships, distributor network, partner ecosystem, indirect sales, channel growth"
Sales Operations Analyst,Sales,Revenue Operations Analyst|Sales Analytics Analyst,"Support sales teams with CRM analytics, quota modelling, pipeline reporting, and operational improvements to drive revenue predictability.","crm analytics, salesforce, pipeline reporting, quota setting, compensation modeling, revenue analytics, sql, excel",mba|pgdm|bsc statistics|btech,0,10,"sales analytics, revenue operations, crm optimization, pipeline management, sales enablement"
Urban Planner,Government & Public Policy,City Planner|Land Use Planner,"Develop urban development plans, advise on zoning and land use, and coordinate infrastructure projects for sustainable city growth.","land use planning, gis, zoning, urban development, public consultation, policy analysis, master plans, smart city",mba public policy|ma urban planning|btech civil|msc urban studies,1,12,"urban development, city planning, public space, infrastructure policy, land use"
Public Health Officer,Government & Public Policy,Epidemiologist|Health Programme Officer,"Design and implement public health programmes, conduct disease surveillance, and develop health policy recommendations.","epidemiology, public health programs, surveillance, health policy, community outreach, vaccination programs, disease prevention",mbbs|msc public health|mph|bsc public health,1,12,"public health, disease prevention, community health, health policy, epidemiology"
Economic Policy Analyst,Government & Public Policy,Policy Economist|Fiscal Policy Analyst,"Analyse macroeconomic trends, model policy interventions, and produce evidence-based recommendations for government and institutions.","economic analysis, policy modeling, data analysis, policy briefs, stakeholder engagement, fiscal policy, regression analysis",ma economics|mba public policy|msc economics|ba economics,1,12,"economic policy, fiscal analysis, policy research, macroeconomics, government advisory"
CSR Manager,Government & Public Policy,Corporate Social Responsibility Manager|ESG Manager,"Develop and execute CSR and ESG strategies, manage community programmes, and report on social and environmental impact.","csr strategy, ngo coordination, impact reporting, stakeholder engagement, budget management, community programs, esg",mba|ma social work|pgdm|ba sociology,3,15,"corporate social responsibility, sustainability, community impact, esg, social programs"
E-commerce Manager,Retail & E-commerce,Marketplace Manager|Online Retail Manager,"Manage e-commerce operations across marketplaces, optimise product listings, drive conversions, and coordinate fulfillment.","marketplace management, amazon seller central, flipkart, catalogue management, promotions, pricing strategy, analytics, customer experience",mba|pgdm|btech|bba,2,12,"online retail, marketplace growth, product listing optimization, e-commerce strategy, digital retail"
Retail Buyer,Retail & E-commerce,Fashion Buyer|Category Buyer,"Select and procure merchandise for retail, negotiate with vendors, plan assortments, and optimise buying budgets.","buying, vendor negotiation, range planning, trend analysis, open to buy, product selection, supplier management, margin optimization",mba|pgdm|bba|fashion merchandising,1,12,"product sourcing, range planning, buyer vendor relations, trend forecasting, retail assortment"
Customer Experience Manager,Retail & E-commerce,CX Manager|Customer Success Manager Retail,"Lead customer experience strategy, manage NPS and feedback loops, and implement service improvements across retail touchpoints.","cx strategy, nps, customer journey mapping, service design, complaint resolution, feedback analysis, cx tools, stakeholder management",mba|pgdm|bba|bsc,2,12,"customer satisfaction, service excellence, cx improvement, customer retention, feedback management"
Visual Merchandiser,Retail & E-commerce,VM Specialist|Store Display Designer,"Create compelling in-store visual displays, implement planograms, and ensure brand standards are maintained across retail locations.","store display, planogram, window dressing, brand guidelines, visual communication, retail layout, colour blocking, product placement",bdes|diploma fashion|bba retail|fine arts,0,10,"store design, visual displays, brand presentation, in-store experience, product merchandising"
Revenue Manager,Hospitality & Travel,Hotel Revenue Manager|Yield Manager,"Optimise hotel revenue through dynamic pricing strategies, OTA management, and demand forecasting across all booking channels.","revenue management, pricing strategy, otas, channel management, forecasting, pms, yield management, compset analysis",mba hospitality|bsc hotel management|pgdm|diploma hotel management,2,15,"hotel revenue, pricing strategy, otas, occupancy optimization, revenue optimization"
Food and Beverage Manager,Hospitality & Travel,F&B Manager|Restaurant Operations Manager,"Oversee food and beverage operations, manage menus, control costs, lead kitchen and service teams, and deliver guest satisfaction.","f&b operations, menu planning, cost control, staff management, vendor management, food safety, customer service, pos systems",bsc hotel management|diploma hospitality|mba hospitality,2,15,"food beverage operations, menu design, restaurant management, customer dining experience, cost control"
Tour Operations Manager,Hospitality & Travel,DMC Manager|Travel Operations Manager,"Plan and manage tour packages, coordinate with vendors and guides, and ensure seamless travel experiences for groups and FITs.","tour planning, vendor coordination, travel logistics, itinerary design, client management, costing, gds, destination knowledge",bba tourism|mba tourism|bsc hospitality|diploma travel,2,12,"tour packaging, destination management, travel operations, group tours, itinerary planning"
Actor,Performing Arts & Entertainment,Screen Actor|Film Actor|Performer,"Perform scripted or improvised roles for film, television, theatre, and digital media while collaborating with directors, casting teams, and production units.","acting, method acting, improvisation, voice modulation, script analysis, auditioning, stage performance, camera acting, character development, dialogue delivery, dance, stage combat",ba literature|ba performing arts|theatre diploma|acting diploma|mass communication,0,15,"film acting, screen acting, theatre, web series, cinema, performance, casting, reel, commercials, digital media"
Theatre Actor,Performing Arts & Entertainment,Stage Actor|Drama Performer,"Perform live stage roles, rehearse scripts, interpret characters, and coordinate with directors and ensembles for theatre productions.","acting, stage performance, script analysis, voice projection, improvisation, character development, rehearsal discipline, movement, dialogue delivery",ba literature|ba performing arts|theatre diploma|acting diploma,0,15,"theatre, stage actor, live performance, drama, play production, ensemble performance, theatrical performance"
Voice Actor,Performing Arts & Entertainment,Dubbing Artist|Voice Over Artist,"Deliver recorded vocal performances for dubbing, animation, commercials, narration, and digital content with strong diction and character expression.","voice modulation, diction, script reading, acting, audio recording, character voice, pronunciation, narration",acting diploma|ba performing arts|mass communication|ba literature,0,15,"voice over, dubbing, narration, commercial voice, audio performance, voice acting"
Computer Science Faculty,Education & Research,Computer Science Lecturer|Software Teaching Faculty,"Teach computer science, programming, software engineering, and data subjects in higher education while mentoring students, creating labs, and contributing to academic administration.","teaching, programming, python, sql, software engineering, database management, curriculum development, assessment, lecture delivery, student mentoring, academic writing, presentation, manual testing, software testing, tableau, power bi, machine learning, ai",mca|msc computer science|mtech computer science|mphil|phd|btech computer science,1,22,"computer science faculty, programming instructor, software teaching, college teaching, lab instruction, higher education, assistant professor computer science, data analytics teaching, software testing faculty, machine learning teaching, tableau, power bi"
Academic Research Lead,Education & Research,Research Professor|Research Coordinator,"Lead academic research programs, publish scholarly work, guide faculty and students, manage grants or projects, and contribute to institutional research strategy.","research, academic writing, publication writing, literature review, project leadership, data analysis, faculty mentoring, presentation, grant writing, research supervision, spss, bibliometric analysis, systematic literature review, editorial work",phd|mphil|mtech|msc|ma,5,25,"research leadership, publications, faculty research, research cell, project investigator, scholarly output, conference presentations, academic research lead, director research and development cell, book chapters, journal publications, invited talks, patent"
Hotel Operations Manager,Hospitality & Travel,Hotel Operations Executive|Resort Operations Manager,"Manage hotel or resort operations across front office, guest services, housekeeping coordination, service quality, and departmental efficiency.","hotel operations, guest relations, front office, property management systems, team management, service quality, budgeting, shift operations, problem resolution",bsc hotel management|hotel management diploma|mba hospitality,2,18,"hotel operations, resort operations, guest satisfaction, front office management, hospitality operations, service excellence"
Web Designer,Web Design,"UI Designer|Website Designer|Frontend Designer","Design website layouts, user interfaces, visual elements, and responsive web pages","HTML,CSS,JavaScript,Figma,Adobe XD,Photoshop,Illustrator,UI Design,UX Design,Responsive Design,Wireframing,Prototyping",BCA|BTech Computer Science|MCA|Diploma Web Designing|Bachelor in Design,0,10,"web design,UI,UX,website layout,responsive design,frontend design"
Web Developer,Web Development,"Frontend Developer|Backend Developer|Full Stack Developer|Website Developer","Build and maintain websites, web applications, APIs, databases, frontend and backend systems","HTML,CSS,JavaScript,React,Angular,Vue,Nodejs,Express,Python,PHP,Java,SQL,MongoDB,Git,API,REST,Flask,Django",BTech Computer Science|MCA|BCA|MTech Computer Science|BE Computer Science,0,10,"web development,frontend,backend,full stack,website,API,database"
Mobile Developer,Mobile App Development,"Android Developer|iOS Developer|Flutter Developer|React Native Developer|App Developer","Build and maintain mobile applications for Android, iOS, and cross-platform environments","Java,Kotlin,Swift,Flutter,Dart,React Native,JavaScript,Android Studio,Xcode,Firebase,REST API,Git,Mobile UI,App Testing",BTech Computer Science|MCA|BCA|MTech Computer Science|BE Computer Science,0,10,"mobile development,android,ios,flutter,react native,mobile app,app development"
Accountant,Accounting,"Accounts Executive|Accounts Officer|Junior Accountant|Senior Accountant|Finance Executive","Manage financial records, bookkeeping, invoices, taxation, payroll, audits, and financial reporting","Accounting,Tally ERP,Tally Prime,MS Excel,GST,TDS,Income Tax,Bookkeeping,Payroll,Accounts Payable,Accounts Receivable,Bank Reconciliation,Financial Reporting",BCom|MCom|MBA Finance|CA Inter|Diploma Accounting,0,10,"accounting,bookkeeping,taxation,GST,TDS,finance,audit,accounts"
Hotel Manager,Hospitality Management,"Hotel Operations Manager|General Manager Hotel|Resort Manager|Hospitality Manager","Manage overall hotel operations, staff, guest services, budgets, reservations, housekeeping, food and beverage, and customer satisfaction","Hotel Operations,Hospitality Management,Guest Relations,Front Office,Housekeeping,F&B Management,Revenue Management,Staff Management,Customer Service,Reservation Systems,MS Office,Leadership",BHM|Bachelor of Hotel Management|Diploma Hotel Management|MBA Hospitality|BBA Hospitality,2,15,"hotel manager,hospitality,hotel operations,guest services,resort manager,front office,F&B"
Front Office Manager,Hospitality Management,"Reception Manager|Front Desk Manager|Guest Relations Manager|Lobby Manager","Manage front desk operations, guest check-in and check-out, reservations, complaints, and guest service quality","Front Office,Guest Relations,Reservation Systems,PMS Software,Customer Service,Communication,Complaint Handling,Team Management,MS Office,Hospitality Operations",BHM|Diploma Hotel Management|BBA Hospitality|Bachelor Degree,1,10,"front office,front desk,reception,guest relations,hotel reception,reservations"
Housekeeping Manager,Hospitality Management,"Executive Housekeeper|Housekeeping Supervisor|Rooms Division Manager","Manage housekeeping staff, room cleanliness, laundry operations, inventory, inspections, and hygiene standards","Housekeeping Operations,Room Inspection,Laundry Management,Inventory Management,Hygiene Standards,Staff Scheduling,Team Management,Customer Service,Hotel Operations",BHM|Diploma Hotel Management|Bachelor Degree|Hospitality Certification,1,10,"housekeeping,executive housekeeper,room cleaning,laundry,hygiene,hotel operations"
Food and Beverage Manager,Hospitality Management,"F&B Manager|Restaurant Manager|Banquet Manager|Catering Manager","Manage restaurant, banquet, catering, bar, and food service operations within a hotel","F&B Operations,Restaurant Management,Banquet Operations,Catering,Menu Planning,Food Safety,Inventory Management,Vendor Management,Customer Service,Staff Management",BHM|Diploma Hotel Management|MBA Hospitality|Food Production Diploma,2,12,"food and beverage,F&B,restaurant,banquet,catering,hotel dining"
Reservations Manager,Hospitality Management,"Booking Manager|Reservation Executive|Revenue Reservation Manager","Manage hotel room bookings, reservation systems, availability, cancellations, and guest booking queries","Reservation Systems,PMS Software,OTA Management,Customer Service,Communication,Revenue Management,MS Excel,Booking Management,Guest Relations",BHM|Diploma Hotel Management|BBA Hospitality|Bachelor Degree,1,8,"reservations,booking,hotel booking,OTA,PMS,room availability"
Revenue Manager,Hospitality Management,"Hotel Revenue Manager|Yield Manager|Revenue Analyst","Manage hotel pricing, occupancy, revenue strategy, demand forecasting, and online travel agency performance","Revenue Management,Dynamic Pricing,Forecasting,OTA Management,Market Analysis,Excel,Data Analysis,PMS Software,Channel Manager,Hospitality Analytics",BHM|MBA Hospitality|MBA Finance|Bachelor Degree,2,12,"revenue manager,hotel pricing,occupancy,OTA,yield management,hospitality analytics"
Banquet Manager,Hospitality Management,"Event Manager|Banquet Operations Manager|Catering Manager","Manage banquet events, conferences, weddings, catering arrangements, staff, and guest requirements","Banquet Operations,Event Management,Catering,Guest Relations,Vendor Coordination,Staff Management,Food Safety,Customer Service,Budgeting,Hospitality Operations",BHM|Diploma Hotel Management|Event Management Diploma|Bachelor Degree,1,10,"banquet,event management,wedding,conference,catering,hospitality"
Resort Manager,Hospitality Management,"Resort Operations Manager|Holiday Resort Manager|General Manager Resort","Manage resort operations, guest experience, recreational services, rooms, staff, budgets, and hospitality standards","Resort Operations,Hospitality Management,Guest Relations,Staff Management,F&B Management,Housekeeping,Front Office,Event Management,Customer Service,Leadership",BHM|Bachelor of Hotel Management|MBA Hospitality|Diploma Hotel Management,3,15,"resort manager,resort operations,hospitality,guest experience,hotel operations"
Actor,Acting,"Film Actor|TV Actor|Theatre Actor|Screen Actor|Performer","Perform roles in films, television, theatre, advertisements, web series, and other visual productions","Acting,Dialogue Delivery,Voice Modulation,Body Language,Improvisation,Script Reading,Character Development,Stage Presence,Audition Skills,Camera Acting,Emotional Expression",Diploma Acting|Bachelor Performing Arts|Theatre Certification|Drama School Training|Any Graduate,0,15,"acting,actor,film acting,tv acting,theatre acting,performer,audition"
Theatre Artist,Acting,"Stage Actor|Drama Artist|Theatre Performer|Stage Performer","Perform live roles on stage in plays, dramas, musicals, and theatre productions","Stage Acting,Voice Projection,Dialogue Delivery,Improvisation,Body Movement,Character Acting,Script Reading,Stage Presence,Teamwork,Rehearsal Discipline",Diploma Theatre Arts|Bachelor Performing Arts|Drama School Training|Theatre Workshop|Any Graduate,0,15,"theatre,stage acting,drama,play,live performance,theatre artist"
Voice Actor,Acting,"Voice Over Artist|Dubbing Artist|Narrator|Voice Talent","Provide voice performances for films, animation, advertisements, audiobooks, games, dubbing, and narration","Voice Modulation,Dubbing,Pronunciation,Accent Control,Narration,Script Reading,Audio Recording,Emotional Expression,Language Skills,Timing,Microphone Technique",Voice Acting Certification|Dubbing Course|Mass Communication|Theatre Training|Any Graduate,0,12,"voice acting,voice over,dubbing,narration,audiobook,animation voice"
Model,Acting,"Fashion Model|Commercial Model|Print Model|Runway Model|Ad Model","Represent brands, products, fashion, and campaigns through photoshoots, runway shows, advertisements, and media appearances","Posing,Camera Presence,Body Language,Facial Expressions,Runway Walk,Grooming,Fitness,Brand Representation,Confidence,Photoshoot Skills",Modeling Course|Fashion Certification|Grooming Workshop|Any Graduate|12th Pass,0,10,"modeling,model,runway,photoshoot,fashion model,commercial model"
Casting Assistant,Acting,"Casting Coordinator|Casting Executive|Talent Coordinator|Audition Coordinator","Assist in finding, shortlisting, coordinating, and managing actors or performers for films, ads, web series, television, and theatre projects","Casting Coordination,Audition Management,Talent Sourcing,Communication,Database Management,Script Understanding,Scheduling,MS Office,Networking,Production Coordination",Mass Communication|Film Studies|Bachelor Performing Arts|Any Graduate,0,8,"casting,audition,talent coordination,casting assistant,actor selection"
Acting Coach,Acting,"Drama Coach|Performance Coach|Theatre Coach|Actor Trainer","Train actors and performers in acting techniques, dialogue delivery, expressions, auditions, and character performance","Acting Techniques,Coaching,Improvisation,Voice Modulation,Character Development,Script Analysis,Dialogue Delivery,Stage Direction,Communication,Performance Evaluation",Bachelor Performing Arts|Drama School Training|Theatre Certification|Acting Diploma|Any Graduate,3,15,"acting coach,drama coach,actor training,performance coaching,acting classes"
Stand-up Comedian,Acting,"Comedian|Comedy Performer|Comic Artist|Live Performer","Create and perform comedy acts, stand-up routines, sketches, and live entertainment performances","Comedy Writing,Stage Presence,Timing,Improvisation,Audience Engagement,Voice Modulation,Storytelling,Performance Skills,Confidence,Script Writing",Theatre Workshop|Creative Writing Course|Mass Communication|Any Graduate|12th Pass,0,10,"stand-up comedy,comedian,comic artist,live comedy,stage performance"
Background Artist,Acting,"Junior Artist|Extra Artist|Supporting Artist|Crowd Artist","Appear in background or supporting scenes in films, television, advertisements, and web series","Camera Awareness,Discipline,Body Language,Following Direction,Scene Continuity,Teamwork,Patience,Professional Conduct,Availability",Any Graduate|12th Pass|Acting Workshop|Theatre Training,0,8,"background artist,junior artist,extra,supporting artist,crowd scene"
Journalist,Journalism,"Reporter|News Reporter|Correspondent|Media Reporter","Research, investigate, write, and report news stories for newspapers, television, radio, digital media, and news platforms","News Reporting,Research,Interviewing,Writing,Editing,Fact Checking,Communication,Current Affairs,Media Ethics,Storytelling,MS Office,Digital Media",BJMC|BA Journalism|MA Journalism|Mass Communication|Any Graduate,0,12,"journalism,reporting,news reporter,media,current affairs,news writing"
News Anchor,Journalism,"TV Anchor|News Presenter|Broadcast Journalist|Television Presenter","Present news stories, interviews, debates, and live updates on television, digital channels, or broadcast platforms","Anchoring,Public Speaking,Voice Modulation,Teleprompter Reading,Interviewing,Current Affairs,Communication,Presentation Skills,Media Ethics,Live Reporting",BJMC|BA Journalism|MA Journalism|Mass Communication|Theatre Training,0,12,"news anchor,TV anchor,broadcast journalism,news presenter,live news"
Content Writer,Journalism,"Editorial Writer|Feature Writer|Copy Writer|Digital Writer","Write articles, features, blogs, reports, news summaries, and editorial content for print and digital media","Content Writing,Article Writing,Editing,Research,SEO Writing,Grammar,Proofreading,Storytelling,Fact Checking,Digital Publishing,WordPress",BJMC|BA English|Mass Communication|MA Journalism|Any Graduate,0,10,"content writing,article writing,editorial,feature writing,SEO,blog writing"
Editor,Journalism,"News Editor|Copy Editor|Sub Editor|Managing Editor","Review, edit, proofread, and improve news articles, reports, headlines, and editorial content before publication","Editing,Proofreading,Copy Editing,Headline Writing,Fact Checking,Grammar,News Judgment,Editorial Planning,AP Style,Digital Publishing,Team Management",BJMC|MA Journalism|Mass Communication|BA English|Any Graduate,2,15,"editor,news editor,copy editor,sub editor,proofreading,editorial"
